startIp,endIp,ipVersion,serviceName,serviceUrl
216.131.110.0,216.131.110.255,4,IPVanish,https://ipvanish.com
173.245.203.0,173.245.203.255,4,IPVanish,https://ipvanish.com
146.70.174.0,146.70.174.255,4,ProtonVPN,
91.246.178.0,91.246.178.255,4,ExpressVPN,https://expressvpn.com
185.107.95.48,185.107.95.63,4,Windscribe,https://windscribe.com
94.156.148.0,94.156.148.255,4,NordVPN,https://nordvpn.com
5.62.58.0,5.62.59.255,4,Hide My Ass VPN,https://hidemyass.com
185.45.15.0,185.45.15.127,4,ProtonVPN,
156.146.38.0,156.146.39.255,4,Private Internet Access,
193.160.244.0,193.160.247.255,4,NordVPN,https://nordvpn.com
188.241.157.0,188.241.157.255,4,NordVPN,https://nordvpn.com
79.127.183.0,79.127.183.255,4,NordVPN,
108.61.208.0,108.61.209.255,4,TunnelBear,https://tunnelbear.com
173.244.32.0,173.244.63.255,4,Private Internet Access,
173.239.192.0,173.239.255.255,4,ExpressVPN,
91.207.57.0,91.207.57.255,4,MullvadVPN,
5.253.204.0,5.253.207.255,4,ProtonVPN,
103.214.44.0,103.214.47.255,4,NordVPN,
185.255.126.0,185.255.127.255,4,ExpressVPN,https://expressvpn.com
149.22.80.0,149.22.95.255,4,Private Internet Access,
194.126.177.0,194.126.177.255,4,ProtonVPN,https://protonvpn.com
98.159.234.0,98.159.234.255,4,Private Internet Access,https://privateinternetaccess.com
194.242.48.0,194.242.49.255,4,NordVPN,https://nordvpn.com
92.119.16.0,92.119.17.255,4,NordVPN,
2.56.190.0,2.56.190.255,4,NordVPN,https://nordvpn.com
216.183.125.0,216.183.125.127,4,NordVPN,https://nordvpn.com
81.17.24.160,81.17.24.190,4,IVPN,https://ivpn.net
91.148.228.64,91.148.228.95,4,Privado,https://privado.com
212.30.36.0,212.30.36.255,4,ExpressVPN,https://expressvpn.com
64.145.93.0,64.145.94.255,4,IPVanish,https://ipvanish.com
153.92.40.0,153.92.40.255,4,NordVPN,https://nordvpn.com
146.70.161.0,146.70.161.255,4,ProtonVPN,
62.182.96.0,62.182.99.255,4,NordVPN,https://nordvpn.com
185.253.162.0,185.253.162.255,4,Private Internet Access,
83.219.96.0,83.219.99.255,4,ExpressVPN,
116.90.74.0,116.90.74.255,4,NordVPN,
128.1.218.0,128.1.218.255,4,TunnelBear,https://tunnelbear.com
195.216.219.128,195.216.219.255,4,NordVPN,https://nordvpn.com
95.174.66.0,95.174.66.255,4,NordVPN,
84.239.0.0,84.239.63.255,4,Private Internet Access,
156.146.62.0,156.146.62.255,4,Surfshark,
130.195.241.0,130.195.241.255,4,ProtonVPN,https://protonvpn.com
178.239.173.0,178.239.173.255,4,NordVPN,
95.179.222.0,95.179.223.255,4,TunnelBear,https://tunnelbear.com
77.36.112.0,77.36.112.255,4,ExpressVPN,https://expressvpn.com
169.150.201.0,169.150.201.255,4,NordVPN,
188.212.154.128,188.212.154.255,4,NordVPN,https://nordvpn.com
146.70.189.0,146.70.189.255,4,MullvadVPN,https://mullvad.net
77.81.139.128,77.81.139.255,4,NordVPN,
64.238.204.0,64.238.204.255,4,NordVPN,https://nordvpn.com
82.197.75.0,82.197.75.127,4,NordVPN,https://nordvpn.com
103.107.197.0,103.107.197.255,4,NordVPN,
84.20.17.0,84.20.17.255,4,NordVPN,
92.119.36.128,92.119.36.255,4,ExpressVPN,https://expressvpn.com
149.40.48.0,149.40.63.255,4,ProtonVPN,
2.56.188.0,2.56.191.255,4,NordVPN,
82.102.19.0,82.102.19.255,4,NordVPN,
195.86.24.0,195.86.24.255,4,Surfshark,
149.102.239.0,149.102.239.255,4,ProtonVPN,
169.150.197.0,169.150.197.255,4,Surfshark,
193.160.245.0,193.160.245.255,4,NordVPN,https://nordvpn.com
64.145.90.0,64.145.91.255,4,IPVanish,https://ipvanish.com
109.104.115.0,109.104.115.127,4,NordVPN,https://nordvpn.com
46.173.242.0,46.173.242.255,4,ExpressVPN,https://expressvpn.com
185.213.82.0,185.213.82.255,4,NordVPN,https://nordvpn.com
178.249.211.0,178.249.211.255,4,NordVPN,
156.146.55.0,156.146.55.255,4,CyberGhostVPN,
149.50.211.0,149.50.211.255,4,ProtonVPN,
84.239.33.128,84.239.33.255,4,Private Internet Access,https://privateinternetaccess.com
185.141.57.64,185.141.57.95,4,IPVanish,https://ipvanish.com
205.185.192.0,205.185.193.255,4,IPVanish,https://ipvanish.com
86.38.98.0,86.38.98.255,4,Surfshark,https://surfshark.com
149.34.240.0,149.34.240.255,4,Surfshark,
195.181.166.0,195.181.166.255,4,Surfshark,
116.90.75.0,116.90.75.255,4,NordVPN,
84.239.27.0,84.239.27.127,4,Private Internet Access,https://privateinternetaccess.com
45.132.224.0,45.132.227.255,4,ExpressVPN,https://expressvpn.com
146.70.246.0,146.70.246.255,4,ProtonVPN,https://protonvpn.com
140.82.52.0,140.82.53.255,4,TunnelBear,https://tunnelbear.com
146.70.194.0,146.70.194.255,4,ProtonVPN,
46.166.129.0,46.166.129.15,4,Windscribe,https://windscribe.com
146.70.182.0,146.70.182.255,4,ProtonVPN,
31.6.41.0,31.6.41.255,4,VyperVPN,
31.171.154.168,31.171.154.255,4,ExpressVPN,
185.132.186.0,185.132.187.255,4,ExpressVPN,https://expressvpn.com
80.67.8.192,80.67.8.255,4,Anonine,
146.70.15.0,146.70.15.255,4,Private Internet Access,https://privateinternetaccess.com
193.36.222.0,193.36.222.255,4,ExpressVPN,https://expressvpn.com
213.139.9.0,213.139.9.255,4,Windscribe,
5.182.32.0,5.182.32.255,4,NordVPN,https://nordvpn.com
31.13.191.0,31.13.191.255,4,ProtonVPN,
185.232.20.0,185.232.23.255,4,NordVPN,
146.70.59.0,146.70.59.255,4,Private Internet Access,
205.185.222.0,205.185.222.255,4,IPVanish,https://ipvanish.com
185.230.124.0,185.230.127.255,4,TunnelBear,
188.213.34.0,188.213.34.255,4,Private Internet Access,
89.251.0.0,89.251.0.255,4,ExpressVPN,https://expressvpn.com
212.102.46.128,212.102.47.255,4,NordVPN,https://nordvpn.com
23.234.84.160,23.234.84.175,4,MullvadVPN,https://mullvad.net
5.254.112.0,5.254.112.255,4,PureVPN,
217.69.0.0,217.69.15.255,4,TunnelBear,
156.146.56.0,156.146.57.255,4,Private Internet Access,
185.212.111.98,185.212.111.113,4,ProtonVPN,https://protonvpn.com
188.95.55.0,188.95.55.255,4,NordVPN,
185.253.96.0,185.253.99.255,4,CyberGhostVPN,
45.91.20.0,45.91.20.255,4,ExpressVPN,https://expressvpn.com
89.35.25.0,89.35.25.255,4,NordVPN,https://nordvpn.com
95.173.223.0,95.173.223.255,4,Surfshark,
193.56.113.0,193.56.113.255,4,Surfshark,https://surfshark.com
173.239.203.0,173.239.203.255,4,Private Internet Access,https://privateinternetaccess.com
130.195.216.0,130.195.223.255,4,ProtonVPN,
149.88.18.0,149.88.18.255,4,ProtonVPN,
93.114.63.0,93.114.63.255,4,NordVPN,https://nordvpn.com
79.127.169.0,79.127.169.255,4,ProtonVPN,https://protonvpn.com
81.171.72.160,81.171.72.175,4,Privado,https://privado.com
208.76.222.0,208.76.223.255,4,TunnelBear,https://tunnelbear.com
169.150.203.0,169.150.203.255,4,NordVPN,
146.70.232.0,146.70.232.255,4,TunnelBear,
146.70.201.0,146.70.201.255,4,MullvadVPN,https://mullvad.net
217.217.121.0,217.217.121.255,4,NordVPN,https://nordvpn.com
185.216.73.0,185.216.73.255,4,NordVPN,https://nordvpn.com
149.34.248.0,149.34.248.255,4,NordVPN,
82.102.25.0,82.102.25.255,4,Windscribe,
37.120.149.0,37.120.149.255,4,NordVPN,
185.91.120.0,185.91.123.255,4,IPVanish,https://ipvanish.com
103.1.212.0,103.1.215.255,4,NordVPN,
188.215.235.0,188.215.235.255,4,Private Internet Access,
188.213.202.0,188.213.202.255,4,ExpressVPN,https://expressvpn.com
87.249.139.0,87.249.139.255,4,NordVPN,
37.19.218.0,37.19.218.255,4,NordVPN,
91.148.245.64,91.148.245.95,4,Privado,https://privado.com
181.214.218.0,181.214.218.255,4,Private Internet Access,
149.88.23.0,149.88.23.255,4,Surfshark,
77.81.142.0,77.81.142.127,4,Private Internet Access,https://privateinternetaccess.com
193.9.36.0,193.9.37.255,4,ProtonVPN,https://protonvpn.com
45.67.96.0,45.67.96.255,4,ExpressVPN,https://expressvpn.com
146.70.21.0,146.70.21.255,4,TunnelBear,
139.28.216.0,139.28.219.255,4,NordVPN,
91.148.244.96,91.148.244.111,4,Privado,https://privado.com
86.62.28.0,86.62.31.255,4,NordVPN,https://nordvpn.com
45.148.17.32,45.148.17.63,4,OVPN,https://ovpn.com
91.205.107.0,91.205.107.255,4,NordVPN,https://nordvpn.com
45.131.194.0,45.131.194.255,4,ExpressVPN,https://expressvpn.com
146.70.45.0,146.70.45.255,4,Surfshark,
195.206.104.0,195.206.107.255,4,TorGuard,
86.106.90.0,86.106.90.127,4,NordVPN,
31.171.153.128,31.171.153.191,4,ExpressVPN,https://expressvpn.com
149.40.48.0,149.40.48.255,4,ProtonVPN,
84.239.42.128,84.239.42.255,4,CyberGhostVPN,https://cyberghostvpn.com
209.234.253.0,209.234.253.255,4,IPVanish,https://ipvanish.com
152.89.162.0,152.89.162.255,4,Surfshark,
188.126.94.64,188.126.94.95,4,Private Internet Access,https://privateinternetaccess.com
185.107.81.128,185.107.81.159,4,Windscribe,https://windscribe.com
146.70.221.0,146.70.221.255,4,ProtonVPN,
185.159.156.0,185.159.156.255,4,ProtonVPN,https://protonvpn.com
216.24.213.0,216.24.213.255,4,Private Internet Access,
77.36.113.0,77.36.113.255,4,ExpressVPN,https://expressvpn.com
185.183.106.0,185.183.106.63,4,AirVPN,
45.134.140.0,45.134.143.255,4,MullvadVPN,
84.17.56.0,84.17.57.255,4,CyberGhostVPN,
185.99.253.128,185.99.253.191,4,IPVanish,https://ipvanish.com
37.77.56.0,37.77.56.255,4,ExpressVPN,
31.217.248.0,31.217.248.255,4,ExpressVPN,https://expressvpn.com
198.44.142.32,198.44.142.47,4,Windscribe,https://windscribe.com
84.239.27.128,84.239.27.255,4,Private Internet Access,https://privateinternetaccess.com
146.70.55.0,146.70.55.255,4,Surfshark,
198.44.129.96,198.44.129.127,4,MullvadVPN,https://mullvad.net
205.185.193.0,205.185.193.255,4,IPVanish,https://ipvanish.com
91.148.228.16,91.148.228.31,4,Privado,https://privado.com
176.126.83.0,176.126.83.255,4,TunnelBear,
84.233.167.0,84.233.167.255,4,Surfshark,
98.159.37.0,98.159.37.255,4,ExpressVPN,https://expressvpn.com
185.141.119.0,185.141.119.255,4,Surfshark,
95.181.236.0,95.181.236.255,4,Private Internet Access,
38.246.32.0,38.246.32.255,4,TunnelBear,https://tunnelbear.com
202.49.186.0,202.49.186.255,4,NordVPN,https://nordvpn.com
23.234.93.32,23.234.93.47,4,MullvadVPN,https://mullvad.net
86.62.30.0,86.62.30.255,4,NordVPN,https://nordvpn.com
185.183.105.0,185.183.105.255,4,Windscribe,
69.16.157.0,69.16.157.255,4,IPVanish,https://ipvanish.com
193.19.207.0,193.19.207.255,4,Surfshark,
149.88.100.0,149.88.100.255,4,NordVPN,
138.199.59.0,138.199.59.255,4,Private Internet Access,
216.131.106.0,216.131.107.255,4,IPVanish,https://ipvanish.com
213.152.162.0,213.152.162.63,4,AirVPN,https://airvpn.org
23.234.71.32,23.234.71.39,4,MullvadVPN,https://mullvad.net
104.36.176.0,104.36.177.255,4,IPVanish,https://ipvanish.com
216.131.111.0,216.131.111.255,4,IPVanish,https://ipvanish.com
66.56.81.0,66.56.81.255,4,Private Internet Access,https://privateinternetaccess.com
188.126.89.32,188.126.89.63,4,Private Internet Access,https://privateinternetaccess.com
31.13.188.0,31.13.191.255,4,ProtonVPN,
156.146.54.0,156.146.54.255,4,Surfshark,
62.182.99.128,62.182.99.255,4,NordVPN,https://nordvpn.com
173.244.49.0,173.244.49.255,4,Private Internet Access,
185.77.216.0,185.77.217.255,4,TunnelBear,
95.181.239.0,95.181.239.255,4,Private Internet Access,https://privateinternetaccess.com
94.156.14.0,94.156.15.255,4,Private Internet Access,https://privateinternetaccess.com
185.252.223.0,185.252.223.255,4,TunnelBear,
85.203.47.0,85.203.47.255,4,ExpressVPN,https://expressvpn.com
85.12.4.160,85.12.4.175,4,Privado,https://privado.com
45.248.78.0,45.248.78.255,4,NordVPN,
37.120.203.0,37.120.203.255,4,NordVPN,
91.205.106.0,91.205.106.255,4,NordVPN,https://nordvpn.com
23.234.71.40,23.234.71.47,4,MullvadVPN,https://mullvad.net
79.110.52.0,79.110.55.255,4,Surfshark,
103.209.255.0,103.209.255.127,4,IPVanish,https://ipvanish.com
169.150.226.0,169.150.227.255,4,NordVPN,
79.135.105.0,79.135.105.255,4,ProtonVPN,https://protonvpn.com
202.176.4.0,202.176.4.255,4,Surfshark,
85.12.5.192,85.12.5.223,4,Privado,https://privado.com
185.189.114.0,185.189.115.255,4,CyberGhostVPN,
173.244.42.0,173.244.42.255,4,CyberGhostVPN,
188.240.56.0,188.240.63.255,4,Surfshark,
217.216.113.0,217.216.113.255,4,NordVPN,https://nordvpn.com
216.131.108.0,216.131.108.127,4,IPVanish,https://ipvanish.com
198.54.134.0,198.54.134.255,4,MullvadVPN,
109.104.115.0,109.104.115.255,4,NordVPN,https://nordvpn.com
188.214.125.0,188.214.125.255,4,Private Internet Access,
45.248.79.0,45.248.79.255,4,NordVPN,
216.131.64.0,216.131.127.255,4,IPVanish,https://ipvanish.com
188.241.80.0,188.241.80.255,4,Private Internet Access,
192.145.116.0,192.145.116.255,4,NordVPN,https://nordvpn.com
194.5.52.0,194.5.53.255,4,ExpressVPN,https://expressvpn.com
37.19.212.0,37.19.213.255,4,NordVPN,https://nordvpn.com
156.146.32.0,156.146.63.255,4,Private Internet Access,
84.239.5.0,84.239.5.127,4,Private Internet Access,https://privateinternetaccess.com
36.255.204.0,36.255.204.127,4,IPVanish,https://ipvanish.com
84.239.52.0,84.239.52.127,4,Private Internet Access,https://privateinternetaccess.com
86.106.74.128,86.106.74.255,4,CyberGhostVPN,
194.5.48.0,194.5.49.255,4,ExpressVPN,https://expressvpn.com
205.185.199.0,205.185.199.255,4,IPVanish,https://ipvanish.com
193.228.206.128,193.228.206.255,4,NordVPN,https://nordvpn.com
86.62.28.0,86.62.28.255,4,NordVPN,https://nordvpn.com
185.92.26.0,185.92.26.255,4,ExpressVPN,https://expressvpn.com
155.133.17.0,155.133.17.255,4,NordVPN,https://nordvpn.com
62.12.118.0,62.12.118.255,4,CyberGhostVPN,
192.166.244.0,192.166.247.255,4,NordVPN,https://nordvpn.com
64.64.108.0,64.64.108.255,4,ExpressVPN,https://expressvpn.com
5.157.13.0,5.157.13.255,4,ProtonVPN,
185.212.149.0,185.212.149.255,4,MullvadVPN,
217.148.140.0,217.148.140.255,4,PureVPN,
195.242.212.0,195.242.212.255,4,Surfshark,
146.70.26.0,146.70.26.255,4,TunnelBear,
31.40.212.0,31.40.213.255,4,NordVPN,
84.239.16.128,84.239.16.255,4,Private Internet Access,https://privateinternetaccess.com
45.130.202.0,45.130.202.255,4,ExpressVPN,https://expressvpn.com
45.128.199.0,45.128.199.255,4,ExpressVPN,https://expressvpn.com
217.69.6.0,217.69.7.255,4,TunnelBear,
203.188.168.0,203.188.168.255,4,ExpressVPN,https://expressvpn.com
84.20.16.0,84.20.19.255,4,Windscribe,
45.133.7.0,45.133.7.255,4,ExpressVPN,https://expressvpn.com
45.144.114.0,45.144.114.255,4,NordVPN,https://nordvpn.com
79.127.181.0,79.127.181.255,4,Private Internet Access,
194.127.173.64,194.127.173.127,4,IPVanish,https://ipvanish.com
151.240.205.0,151.240.205.255,4,Private Internet Access,
149.102.248.0,149.102.248.255,4,Surfshark,
216.131.80.0,216.131.81.255,4,IPVanish,https://ipvanish.com
146.70.132.0,146.70.132.255,4,MullvadVPN,https://mullvad.net
143.244.47.0,143.244.47.255,4,MullvadVPN,
23.234.88.160,23.234.88.167,4,MullvadVPN,https://mullvad.net
94.156.14.0,94.156.14.255,4,Private Internet Access,https://privateinternetaccess.com
89.38.224.0,89.38.224.255,4,TunnelBear,
45.85.144.0,45.85.145.255,4,NordVPN,https://nordvpn.com
193.176.211.0,193.176.211.255,4,ExpressVPN,https://expressvpn.com
45.76.48.0,45.76.49.255,4,TunnelBear,
216.131.112.0,216.131.112.255,4,IPVanish,https://ipvanish.com
195.206.105.0,195.206.105.255,4,TorGuard,
185.245.85.0,185.245.85.255,4,ProtonVPN,
89.46.62.0,89.46.62.127,4,NordVPN,https://nordvpn.com
194.233.100.0,194.233.100.255,4,NordVPN,https://nordvpn.com
193.32.248.0,193.32.249.255,4,MullvadVPN,https://mullvad.net
212.15.83.0,212.15.83.255,4,NordVPN,https://nordvpn.com
149.102.232.0,149.102.232.255,4,Private Internet Access,
209.107.195.0,209.107.195.255,4,IPVanish,https://ipvanish.com
212.32.48.0,212.32.51.255,4,Private Internet Access,https://privateinternetaccess.com
37.120.232.0,37.120.239.255,4,TunnelBear,
91.148.228.192,91.148.228.223,4,Privado,https://privado.com
151.241.119.0,151.241.119.255,4,Private Internet Access,https://privateinternetaccess.com
45.248.77.0,45.248.77.255,4,NordVPN,
2.58.46.0,2.58.46.255,4,TorGuard,
213.139.8.0,213.139.11.255,4,Windscribe,
146.70.39.0,146.70.39.255,4,CyberGhostVPN,https://cyberghostvpn.com
45.132.227.0,45.132.227.255,4,ExpressVPN,https://expressvpn.com
203.188.189.0,203.188.189.255,4,ExpressVPN,https://expressvpn.com
45.80.184.0,45.80.184.255,4,NordVPN,https://nordvpn.com
103.176.152.0,103.176.152.255,4,Surfshark,https://surfshark.com
185.65.134.0,185.65.134.255,4,MullvadVPN,https://mullvad.net
217.217.116.0,217.217.116.255,4,NordVPN,https://nordvpn.com
74.118.124.0,74.118.127.255,4,ProtonVPN,https://protonvpn.com
149.22.90.0,149.22.90.255,4,Private Internet Access,
23.234.100.0,23.234.100.7,4,MullvadVPN,https://mullvad.net
149.40.50.0,149.40.50.255,4,Private Internet Access,
217.64.148.0,217.64.148.255,4,OVPN,https://ovpn.com
146.70.144.0,146.70.144.255,4,MullvadVPN,https://mullvad.net
195.80.148.0,195.80.151.255,4,Private Internet Access,
89.187.164.0,89.187.164.255,4,Hide My Ass VPN,
103.107.196.0,103.107.196.255,4,NordVPN,
192.71.249.0,192.71.249.255,4,BulletVPN,
82.102.22.0,82.102.22.255,4,TunnelBear,
138.199.56.0,138.199.56.255,4,NordVPN,
62.182.98.0,62.182.99.255,4,NordVPN,https://nordvpn.com
192.145.124.0,192.145.124.255,4,TorGuard,
173.244.43.0,173.244.43.255,4,ExpressVPN,https://expressvpn.com
45.76.46.0,45.76.47.255,4,TunnelBear,https://tunnelbear.com
194.35.232.0,194.35.232.255,4,NordVPN,https://nordvpn.com
195.210.126.0,195.210.126.255,4,ExpressVPN,https://expressvpn.com
185.203.219.0,185.203.219.255,4,NordVPN,https://nordvpn.com
45.154.154.0,45.154.155.255,4,Private Internet Access,
87.120.103.224,87.120.103.239,4,Windscribe,https://windscribe.com
37.120.233.0,37.120.233.255,4,Windscribe,
147.93.215.0,147.93.215.255,4,NordVPN,https://nordvpn.com
5.62.43.216,5.62.43.223,4,Hide My Ass VPN,https://hidemyass.com
108.171.106.192,108.171.106.255,4,IPVanish,https://ipvanish.com
185.153.179.0,185.153.179.255,4,NordVPN,https://nordvpn.com
193.37.254.0,193.37.254.255,4,AirVPN,
173.239.217.0,173.239.217.255,4,CyberGhostVPN,
185.189.114.0,185.189.114.255,4,CyberGhostVPN,
185.203.216.0,185.203.219.255,4,NordVPN,https://nordvpn.com
45.134.213.0,45.134.213.255,4,CyberGhostVPN,
185.242.5.0,185.242.5.255,4,TorGuard,
37.19.211.0,37.19.211.255,4,Surfshark,https://surfshark.com
217.216.107.0,217.216.107.255,4,NordVPN,https://nordvpn.com
193.29.104.0,193.29.107.255,4,ProtonVPN,
193.29.107.0,193.29.107.255,4,ProtonVPN,
84.17.35.224,84.17.35.255,4,NordVPN,https://nordvpn.com
178.249.214.0,178.249.214.255,4,MullvadVPN,
102.129.232.0,102.129.232.255,4,Private Internet Access,https://privateinternetaccess.com
217.216.127.0,217.216.127.255,4,NordVPN,https://nordvpn.com
83.229.26.0,83.229.26.127,4,NordVPN,https://nordvpn.com
130.195.242.0,130.195.242.255,4,ProtonVPN,https://protonvpn.com
84.17.44.0,84.17.45.255,4,NordVPN,
169.150.232.0,169.150.232.255,4,NordVPN,https://nordvpn.com
45.144.114.0,45.144.115.255,4,Surfshark,
185.91.122.0,185.91.123.255,4,IPVanish,https://ipvanish.com
84.252.92.0,84.252.92.255,4,Private Internet Access,
185.225.28.48,185.225.28.63,4,Windscribe,https://windscribe.com
149.102.230.0,149.102.230.255,4,NordVPN,
185.147.213.0,185.147.213.255,4,IPVanish,https://ipvanish.com
92.119.17.0,92.119.17.255,4,NordVPN,https://nordvpn.com
194.35.235.0,194.35.235.255,4,NordVPN,https://nordvpn.com
217.9.247.0,217.9.247.255,4,Surfshark,https://surfshark.com
185.216.35.0,185.216.35.255,4,Windscribe,
104.234.140.0,104.234.140.255,4,ExpressVPN,https://expressvpn.com
146.70.76.0,146.70.76.255,4,AirVPN,
116.90.72.0,116.90.75.255,4,NordVPN,
216.183.125.0,216.183.125.255,4,NordVPN,https://nordvpn.com
86.62.29.0,86.62.29.255,4,NordVPN,https://nordvpn.com
216.169.140.0,216.169.143.255,4,IPVanish,https://ipvanish.com
146.70.196.0,146.70.196.255,4,MullvadVPN,https://mullvad.net
176.67.82.0,176.67.82.255,4,IPVanish,https://ipvanish.com
5.253.204.0,5.253.204.255,4,ProtonVPN,
45.152.47.0,45.152.47.255,4,NordVPN,https://nordvpn.com
191.96.106.0,191.96.106.255,4,Private Internet Access,https://privateinternetaccess.com
145.14.135.0,145.14.135.255,4,NordVPN,https://nordvpn.com
79.127.132.0,79.127.132.255,4,Private Internet Access,
